system,dataset,model_size,run_id,artifact_mode,example_count,answer_coverage,asqa_short_answer_coverage,exact_answer_accuracy,unsupported_non_abstained_rate,abstention_rate,correct_citation_rate,phase08_package_scope,formal_full_eval_pass,scope_note
baseline,asqa,3b,baseline_asqa_dev_eval_200_3b_final3b,recorded_prediction,200,0.495000,0.274762,,0.035000,0.470000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_only,asqa,3b,gate_only_asqa_dev_eval_200_3b_final3b,recorded_prediction,200,0.545000,0.259440,,0.025000,0.430000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_plus_verifier,asqa,3b,gate_only_asqa_dev_eval_200_3b_final3b,verifier_rejection_projection,200,0.545000,0.260550,,0.000000,0.455000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
repair_plus_verifier,asqa,3b,repair_plus_verifier_asqa_dev_eval_200_3b_overhaul,recorded_prediction,200,0.530000,0.334748,,0.000000,0.470000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
repair_plus_verifier,asqa,7b,repair_plus_verifier_asqa_dev_eval_200_7b_overhaul,recorded_prediction,200,0.425000,0.327451,,0.000000,0.575000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
baseline,finance,3b,baseline_finance_finance_full_100_3b_final3b,recorded_prediction,100,0.470000,,0.620000,0.010000,0.520000,1.000000,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_only,finance,3b,gate_only_finance_finance_full_100_3b_final3b,recorded_prediction,100,0.470000,,0.620000,0.020000,0.510000,1.000000,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_plus_verifier,finance,3b,gate_only_finance_finance_full_100_3b_final3b,verifier_rejection_projection,100,0.470000,,0.620000,0.000000,0.530000,1.000000,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
repair_plus_verifier,finance,3b,repair_plus_verifier_finance_finance_full_100_3b_overhaul,recorded_prediction,100,0.650000,,0.800000,0.000000,0.350000,1.000000,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
repair_plus_verifier,finance,7b,repair_plus_verifier_finance_finance_full_100_7b_overhaul,recorded_prediction,100,0.000000,,0.150000,0.000000,1.000000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
